insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (1, 4, 'Andros Mangeney', 5, 'Suppr lactation-deliver', 83, 89, 782, 141, '2022/08/31', '2022/07/26', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (2, 11, 'Rudy Bramer', 16, 'Crnitne def d/t nb met', 21, 78, 185, 121, '2022/07/01', '2022/06/15', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (3, 3, 'Shauna Paszek', 2, 'Dis calcium metablsm NOS', 95, 15, 124, 661, '2022/06/23', '2022/09/20', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (4, 4, 'Ronald Gamage', 15, 'Post MI syndrome', 82, 79, 618, 23, '2022/04/04', '2021/11/30', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (5, 13, 'Harmon Darlasson', 19, 'Arterial disease NEC', 81, 81, 387, 106, '2022/03/10', '2021/09/29', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (6, 6, 'Stillmann Gurg', 8, 'Mental dis preg-unspec', 46, 92, 506, 153, '2021/10/01', '2022/03/03', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (7, 3, 'Janos Blackley', 12, 'Hernia, site NOS w obstr', 93, 89, 657, 396, '2021/11/24', '2022/05/05', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (8, 5, 'Joan Agiolfinger', 16, 'Psoas muscle abscess', 13, 100, 400, 187, '2022/08/27', '2022/02/24', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (9, 12, 'Ted Vala', 5, 'Soft tissue anomaly NEC', 50, 83, 791, 27, '2022/03/03', '2022/05/25', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (10, 4, 'Elnora Scarf', 18, 'Poisoning-enzymes NEC', 52, 87, 411, 218, '2022/07/29', '2022/05/24', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (11, 2, 'Minerva Ivashinnikov', 20, 'Opn skul/oth fx-coma NOS', 70, 56, 545, 405, '2022/05/05', '2022/08/18', true, false);
